"idx","ten","one","url","base","imgmc","partial2","start","end","last"
0,0,0,"http://www.pollen.com/make_img.asp?d=1&v=%98%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60c","%98","%60","c"
1,0,1,"http://www.pollen.com/make_img.asp?d=1&v=%98%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60d","%98","%60","d"
2,0,2,"http://www.pollen.com/make_img.asp?d=1&v=%98%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60e","%98","%60","e"
3,0,3,"http://www.pollen.com/make_img.asp?d=1&v=%98%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60f","%98","%60","f"
4,0,4,"http://www.pollen.com/make_img.asp?d=1&v=%98%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60g","%98","%60","g"
5,0,5,"http://www.pollen.com/make_img.asp?d=1&v=%98%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60h","%98","%60","h"
6,0,6,"http://www.pollen.com/make_img.asp?d=1&v=%98%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60I","%98","%60","I"
7,0,7,"http://www.pollen.com/make_img.asp?d=1&v=%98%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60j","%98","%60","j"
8,0,8,"http://www.pollen.com/make_img.asp?d=1&v=%98%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60k","%98","%60","k"
9,0,9,"http://www.pollen.com/make_img.asp?d=1&v=%98%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60l","%98","%60","l"
10,1,0,"http://www.pollen.com/make_img.asp?d=1&v=%99%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60c","%99","%60","c"
11,1,1,"http://www.pollen.com/make_img.asp?d=1&v=%99%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60d","%99","%60","d"
12,1,2,"http://www.pollen.com/make_img.asp?d=1&v=%99%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60e","%99","%60","e"
13,1,3,"http://www.pollen.com/make_img.asp?d=1&v=%99%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60f","%99","%60","f"
14,1,4,"http://www.pollen.com/make_img.asp?d=1&v=%99%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60g","%99","%60","g"
15,1,5,"http://www.pollen.com/make_img.asp?d=1&v=%99%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60h","%99","%60","h"
16,1,6,"http://www.pollen.com/make_img.asp?d=1&v=%99%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60I","%99","%60","I"
17,1,7,"http://www.pollen.com/make_img.asp?d=1&v=%99%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60j","%99","%60","j"
18,1,8,"http://www.pollen.com/make_img.asp?d=1&v=%99%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60k","%99","%60","k"
19,1,9,"http://www.pollen.com/make_img.asp?d=1&v=%99%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60l","%99","%60","l"
20,2,0,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60c","%9A","%60","c"
21,2,1,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60d","%9A","%60","d"
22,2,2,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60e","%9A","%60","e"
23,2,3,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60f","%9A","%60","f"
24,2,4,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60g","%9A","%60","g"
25,2,5,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60h","%9A","%60","h"
26,2,6,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60I","%9A","%60","I"
27,2,7,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60j","%9A","%60","j"
28,2,8,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60k","%9A","%60","k"
29,2,9,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60l","%9A","%60","l"
30,3,0,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60c","%9B","%60","c"
31,3,1,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60d","%9B","%60","d"
32,3,2,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60e","%9B","%60","e"
33,3,3,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60f","%9B","%60","f"
34,3,4,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60g","%9B","%60","g"
35,3,5,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60h","%9B","%60","h"
36,3,6,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60I","%9B","%60","I"
